openssl-1.0 1.0.2.u-1
opera-ffmpeg-codecs 79.0.3945.130-1
opus 1.3.1-1
orc 0.4.31-1
ostree 2019.6-1
p11-kit 0.23.19-2
p7zip 16.02-5
pacman 5.2.1-4
pacman-mirrorlist 20200103-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7-1
pangomm 2.42.0-1
parted 3.3-1
patch 2.7.6-8
pavucontrol 1:4.0-1
pciutils 3.6.2-2
pcre 8.43-2
pcre2 10.34-3
pepper-flash 32.0.0.314-1
perl 5.30.1-1
perl-class-inspector 1.36-1
perl-data-dump 1.23-5
perl-encode-locale 1.05-5
perl-error 0.17029-1
perl-file-listing 6.04-6
perl-file-sharedir 1.116-2
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.08-1
perl-http-daemon 6.01-7
perl-http-date 6.05-1
perl-http-message 6.18-3
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-io-socket-ssl 2.066-1
perl-json 2.97001-1
perl-libwww 6.43-1
perl-lwp-mediatypes 6.02-6
perl-lwp-protocol-https 6.07-3
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-net-ssleay 1.88-1
perl-timedate 2.31-1
perl-try-tiny 0.30-3
perl-uri 1.76-2
perl-www-robotrules 6.02-6
pfetch-git r280.6720477-1
php 7.4.2-1
physfs 3.0.2-1
pinentry 1.1.0-5
pipewire 0.2.7-1
pixman 0.38.4-1
pkgconf 1.6.3-3
polkit 0.116-3
polkit-qt5 0.113.0-1
poppler 0.84.0-1
poppler-data 0.4.9-1
poppler-glib 0.84.0-1
popt 1.16-12
portaudio 1:19.6.0-6
portsmf 234-1
potrace 1.16-1
powerline 2.7-4
powerline-common 2.7-4
powerline-fonts 2.7-4
procps-ng 3.3.15-2
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
pulseaudio-qt 1.2-1
pv 1.6.6-2
pygobject-devel 3.34.0-3
